Country,State,Date,Confirmed,Recovered,Deaths
Australia,Australian Capital Territory,2020-02-17,0.0,0.0,0.0
Australia,Australian Capital Territory,2020-02-18,0.0,0.0,0.0
Australia,Australian Capital Territory,2020-02-19,0.0,0.0,0.0
Australia,Australian Capital Territory,2020-02-20,0.0,0.0,0.0
Australia,Australian Capital Territory,2020-02-21,0.0,0.0,0.0
Australia,Australian Capital Territory,2020-02-22,0.0,0.0,0.0
Australia,Australian Capital Territory,2020-02-23,0.0,0.0,0.0
Australia,Australian Capital Territory,2020-02-24,0.0,0.0,0.0
Australia,Australian Capital Territory,2020-02-25,0.0,0.0,0.0
Australia,Australian Capital Territory,2020-02-26,0.0,0.0,0.0
Australia,Australian Capital Territory,2020-02-27,0.0,0.0,0.0
Australia,Australian Capital Territory,2020-02-28,0.0,0.0,0.0
Australia,Australian Capital Territory,2020-02-29,0.0,0.0,0.0
Australia,Australian Capital Territory,2020-03-01,0.0,0.0,0.0
Australia,Australian Capital Territory,2020-03-02,0.0,0.0,0.0
Australia,Australian Capital Territory,2020-03-03,0.0,0.0,0.0
Australia,Australian Capital Territory,2020-03-04,0.0,0.0,0.0
Australia,Australian Capital Territory,2020-03-05,0.0,0.0,0.0
Australia,Australian Capital Territory,2020-03-06,0.0,0.0,0.0
Australia,Australian Capital Territory,2020-03-07,0.0,0.0,0.0
Australia,Australian Capital Territory,2020-03-08,0.0,0.0,0.0
Australia,Australian Capital Territory,2020-03-09,0.0,0.0,0.0
Australia,Australian Capital Territory,2020-03-10,0.0,0.0,0.0
Australia,Australian Capital Territory,2020-03-11,0.0,0.0,0.0
Australia,Australian Capital Territory,2020-03-12,0.0,0.0,0.0
Australia,Australian Capital Territory,2020-03-13,1.0,0.0,0.0
Australia,Australian Capital Territory,2020-03-14,0.0,0.0,0.0
Australia,Australian Capital Territory,2020-03-15,0.0,0.0,0.0
Australia,Australian Capital Territory,2020-03-16,1.0,0.0,0.0
Australia,Australian Capital Territory,2020-03-17,0.0,0.0,0.0
Australia,Australian Capital Territory,2020-03-18,1.0,0.0,0.0
Australia,Australian Capital Territory,2020-03-19,1.0,0.0,0.0
Australia,Australian Capital Territory,2020-03-20,2.0,0.0,0.0
Australia,Australian Capital Territory,2020-03-21,3.0,0.0,0.0
Australia,From Diamond Princess,2020-01-23,0.0,0.0,0.0
Australia,From Diamond Princess,2020-01-24,0.0,0.0,0.0
Australia,From Diamond Princess,2020-01-25,0.0,0.0,0.0
Australia,From Diamond Princess,2020-01-26,0.0,0.0,0.0
Australia,From Diamond Princess,2020-01-27,0.0,0.0,0.0
Australia,From Diamond Princess,2020-01-28,0.0,0.0,0.0
Australia,From Diamond Princess,2020-01-29,0.0,0.0,0.0
Australia,From Diamond Princess,2020-01-30,0.0,0.0,0.0
Australia,From Diamond Princess,2020-01-31,0.0,0.0,0.0
Australia,From Diamond Princess,2020-02-01,0.0,0.0,0.0
Australia,From Diamond Princess,2020-02-02,0.0,0.0,0.0
Australia,From Diamond Princess,2020-02-03,0.0,0.0,0.0
Australia,From Diamond Princess,2020-02-04,0.0,0.0,0.0
Australia,From Diamond Princess,2020-02-05,0.0,0.0,0.0
Australia,From Diamond Princess,2020-02-06,0.0,0.0,0.0
Australia,From Diamond Princess,2020-02-07,0.0,0.0,0.0
Australia,From Diamond Princess,2020-02-08,0.0,0.0,0.0
Australia,From Diamond Princess,2020-02-09,0.0,0.0,0.0
Australia,From Diamond Princess,2020-02-10,0.0,0.0,0.0
Australia,From Diamond Princess,2020-02-11,0.0,0.0,0.0
Australia,From Diamond Princess,2020-02-12,0.0,0.0,0.0
Australia,From Diamond Princess,2020-02-13,0.0,0.0,0.0
Australia,From Diamond Princess,2020-02-14,0.0,0.0,0.0
Australia,From Diamond Princess,2020-02-15,0.0,0.0,0.0
Australia,From Diamond Princess,2020-02-16,0.0,0.0,0.0
Australia,From Diamond Princess,2020-02-17,0.0,0.0,0.0
Australia,From Diamond Princess,2020-02-18,0.0,0.0,0.0
Australia,From Diamond Princess,2020-02-19,0.0,0.0,0.0
Australia,From Diamond Princess,2020-02-20,0.0,0.0,0.0
Australia,From Diamond Princess,2020-02-21,4.0,0.0,0.0
Australia,From Diamond Princess,2020-02-22,3.0,0.0,0.0
Australia,From Diamond Princess,2020-02-23,0.0,0.0,0.0
Australia,From Diamond Princess,2020-02-24,0.0,0.0,0.0
Australia,From Diamond Princess,2020-02-25,0.0,0.0,0.0
Australia,From Diamond Princess,2020-02-26,0.0,0.0,0.0
Australia,From Diamond Princess,2020-02-27,1.0,0.0,0.0
Australia,From Diamond Princess,2020-02-28,0.0,0.0,0.0
Australia,From Diamond Princess,2020-02-29,-8.0,0.0,0.0
Australia,From Diamond Princess,2020-03-01,0.0,0.0,0.0
Australia,From Diamond Princess,2020-03-02,0.0,0.0,0.0
Australia,From Diamond Princess,2020-03-03,0.0,0.0,0.0
Australia,From Diamond Princess,2020-03-04,0.0,0.0,0.0
Australia,From Diamond Princess,2020-03-05,0.0,0.0,0.0
Australia,From Diamond Princess,2020-03-06,0.0,0.0,0.0
Australia,From Diamond Princess,2020-03-07,0.0,0.0,0.0
Australia,From Diamond Princess,2020-03-08,0.0,0.0,0.0
Australia,From Diamond Princess,2020-03-09,0.0,0.0,0.0
Australia,From Diamond Princess,2020-03-10,0.0,0.0,0.0
Australia,From Diamond Princess,2020-03-11,0.0,0.0,0.0
Australia,From Diamond Princess,2020-03-12,0.0,0.0,0.0
Australia,From Diamond Princess,2020-03-13,0.0,0.0,0.0
Australia,From Diamond Princess,2020-03-14,0.0,0.0,0.0
Australia,From Diamond Princess,2020-03-15,0.0,0.0,0.0
Australia,From Diamond Princess,2020-03-16,0.0,0.0,0.0
Australia,From Diamond Princess,2020-03-17,0.0,0.0,0.0
Australia,From Diamond Princess,2020-03-18,0.0,0.0,0.0
Australia,From Diamond Princess,2020-03-19,0.0,0.0,0.0
Australia,From Diamond Princess,2020-03-20,0.0,0.0,0.0
Australia,From Diamond Princess,2020-03-21,0.0,0.0,0.0
Australia,New South Wales,2020-01-23,0.0,0.0,0.0
Australia,New South Wales,2020-01-24,0.0,0.0,0.0
Australia,New South Wales,2020-01-25,0.0,0.0,0.0
Australia,New South Wales,2020-01-26,3.0,0.0,0.0
Australia,New South Wales,2020-01-27,1.0,0.0,0.0
Australia,New South Wales,2020-01-28,0.0,0.0,0.0
Australia,New South Wales,2020-01-29,0.0,0.0,0.0
Australia,New South Wales,2020-01-30,0.0,2.0,0.0
Australia,New South Wales,2020-01-31,0.0,0.0,0.0
Australia,New South Wales,2020-02-01,0.0,0.0,0.0
Australia,New South Wales,2020-02-02,0.0,0.0,0.0
Australia,New South Wales,2020-02-03,0.0,0.0,0.0
Australia,New South Wales,2020-02-04,0.0,0.0,0.0
Australia,New South Wales,2020-02-05,0.0,0.0,0.0
Australia,New South Wales,2020-02-06,0.0,0.0,0.0
Australia,New South Wales,2020-02-07,0.0,0.0,0.0
Australia,New South Wales,2020-02-08,0.0,0.0,0.0
Australia,New South Wales,2020-02-09,0.0,0.0,0.0
Australia,New South Wales,2020-02-10,0.0,0.0,0.0
Australia,New South Wales,2020-02-11,0.0,0.0,0.0
Australia,New South Wales,2020-02-12,0.0,0.0,0.0
Australia,New South Wales,2020-02-13,0.0,2.0,0.0
Australia,New South Wales,2020-02-14,0.0,0.0,0.0
Australia,New South Wales,2020-02-15,0.0,0.0,0.0
Australia,New South Wales,2020-02-16,0.0,0.0,0.0
Australia,New South Wales,2020-02-17,0.0,0.0,0.0
Australia,New South Wales,2020-02-18,0.0,0.0,0.0
Australia,New South Wales,2020-02-19,0.0,0.0,0.0
Australia,New South Wales,2020-02-20,0.0,0.0,0.0
Australia,New South Wales,2020-02-21,0.0,0.0,0.0
Australia,New South Wales,2020-02-22,0.0,0.0,0.0
Australia,New South Wales,2020-02-23,0.0,0.0,0.0
Australia,New South Wales,2020-02-24,0.0,0.0,0.0
Australia,New South Wales,2020-02-25,0.0,0.0,0.0
Australia,New South Wales,2020-02-26,0.0,0.0,0.0
Australia,New South Wales,2020-02-27,0.0,0.0,0.0
Australia,New South Wales,2020-02-28,0.0,0.0,0.0
Australia,New South Wales,2020-02-29,0.0,0.0,0.0
Australia,New South Wales,2020-03-01,2.0,0.0,0.0
Australia,New South Wales,2020-03-02,0.0,0.0,0.0
Australia,New South Wales,2020-03-03,7.0,0.0,0.0
Australia,New South Wales,2020-03-04,9.0,0.0,1.0
Australia,New South Wales,2020-03-05,0.0,0.0,0.0
Australia,New South Wales,2020-03-06,4.0,0.0,0.0
Australia,New South Wales,2020-03-07,2.0,0.0,0.0
Australia,New South Wales,2020-03-08,10.0,0.0,1.0
Australia,New South Wales,2020-03-09,10.0,0.0,0.0
Australia,New South Wales,2020-03-10,7.0,0.0,0.0
Australia,New South Wales,2020-03-11,10.0,0.0,0.0
Australia,New South Wales,2020-03-12,0.0,0.0,0.0
Australia,New South Wales,2020-03-13,27.0,0.0,0.0
Australia,New South Wales,2020-03-14,20.0,0.0,0.0
Australia,New South Wales,2020-03-15,22.0,0.0,0.0
Australia,New South Wales,2020-03-16,37.0,0.0,0.0
Australia,New South Wales,2020-03-17,39.0,0.0,2.0
Australia,New South Wales,2020-03-18,57.0,0.0,1.0
Australia,New South Wales,2020-03-19,40.0,0.0,0.0
Australia,New South Wales,2020-03-20,46.0,0.0,1.0
Australia,New South Wales,2020-03-21,83.0,0.0,0.0
Australia,Northern Territory,2020-01-23,0.0,0.0,0.0
Australia,Northern Territory,2020-01-24,0.0,0.0,0.0
Australia,Northern Territory,2020-01-25,0.0,0.0,0.0
Australia,Northern Territory,2020-01-26,0.0,0.0,0.0
Australia,Northern Territory,2020-01-27,0.0,0.0,0.0
Australia,Northern Territory,2020-01-28,0.0,0.0,0.0
Australia,Northern Territory,2020-01-29,0.0,0.0,0.0
Australia,Northern Territory,2020-01-30,0.0,0.0,0.0
Australia,Northern Territory,2020-01-31,0.0,0.0,0.0
Australia,Northern Territory,2020-02-01,0.0,0.0,0.0
Australia,Northern Territory,2020-02-02,0.0,0.0,0.0
Australia,Northern Territory,2020-02-03,0.0,0.0,0.0
Australia,Northern Territory,2020-02-04,0.0,0.0,0.0
Australia,Northern Territory,2020-02-05,0.0,0.0,0.0
Australia,Northern Territory,2020-02-06,0.0,0.0,0.0
Australia,Northern Territory,2020-02-07,0.0,0.0,0.0
Australia,Northern Territory,2020-02-08,0.0,0.0,0.0
Australia,Northern Territory,2020-02-09,0.0,0.0,0.0
Australia,Northern Territory,2020-02-10,0.0,0.0,0.0
Australia,Northern Territory,2020-02-11,0.0,0.0,0.0
Australia,Northern Territory,2020-02-12,0.0,0.0,0.0
Australia,Northern Territory,2020-02-13,0.0,0.0,0.0
Australia,Northern Territory,2020-02-14,0.0,0.0,0.0
Australia,Northern Territory,2020-02-15,0.0,0.0,0.0
Australia,Northern Territory,2020-02-16,0.0,0.0,0.0
Australia,Northern Territory,2020-02-17,0.0,0.0,0.0
Australia,Northern Territory,2020-02-18,0.0,0.0,0.0
Australia,Northern Territory,2020-02-19,0.0,0.0,0.0
Australia,Northern Territory,2020-02-20,0.0,0.0,0.0
Australia,Northern Territory,2020-02-21,0.0,0.0,0.0
Australia,Northern Territory,2020-02-22,0.0,0.0,0.0
Australia,Northern Territory,2020-02-23,0.0,0.0,0.0
Australia,Northern Territory,2020-02-24,0.0,0.0,0.0
Australia,Northern Territory,2020-02-25,0.0,0.0,0.0
Australia,Northern Territory,2020-02-26,0.0,0.0,0.0
Australia,Northern Territory,2020-02-27,0.0,0.0,0.0
Australia,Northern Territory,2020-02-28,0.0,0.0,0.0
Australia,Northern Territory,2020-02-29,0.0,0.0,0.0
Australia,Northern Territory,2020-03-01,0.0,0.0,0.0
Australia,Northern Territory,2020-03-02,0.0,0.0,0.0
Australia,Northern Territory,2020-03-03,0.0,0.0,0.0
Australia,Northern Territory,2020-03-04,1.0,0.0,0.0
Australia,Northern Territory,2020-03-05,0.0,0.0,0.0
Australia,Northern Territory,2020-03-06,-1.0,0.0,0.0
Australia,Northern Territory,2020-03-07,0.0,0.0,0.0
Australia,Northern Territory,2020-03-08,0.0,0.0,0.0
Australia,Northern Territory,2020-03-09,0.0,0.0,0.0
Australia,Northern Territory,2020-03-10,1.0,0.0,0.0
Australia,Northern Territory,2020-03-11,0.0,0.0,0.0
Australia,Northern Territory,2020-03-12,0.0,0.0,0.0
Australia,Northern Territory,2020-03-13,0.0,0.0,0.0
Australia,Northern Territory,2020-03-14,0.0,0.0,0.0
Australia,Northern Territory,2020-03-15,0.0,0.0,0.0
Australia,Northern Territory,2020-03-16,0.0,0.0,0.0
Australia,Northern Territory,2020-03-17,0.0,0.0,0.0
Australia,Northern Territory,2020-03-18,0.0,0.0,0.0
Australia,Northern Territory,2020-03-19,0.0,0.0,0.0
Australia,Northern Territory,2020-03-20,2.0,0.0,0.0
Australia,Northern Territory,2020-03-21,0.0,0.0,0.0
Australia,Queensland,2020-01-23,0.0,0.0,0.0
Australia,Queensland,2020-01-24,0.0,0.0,0.0
Australia,Queensland,2020-01-25,0.0,0.0,0.0
Australia,Queensland,2020-01-26,0.0,0.0,0.0
Australia,Queensland,2020-01-27,0.0,0.0,0.0
Australia,Queensland,2020-01-28,0.0,0.0,0.0
Australia,Queensland,2020-01-29,1.0,0.0,0.0
Australia,Queensland,2020-01-30,2.0,0.0,0.0
Australia,Queensland,2020-01-31,-1.0,0.0,0.0
Australia,Queensland,2020-02-01,1.0,0.0,0.0
Australia,Queensland,2020-02-02,-1.0,0.0,0.0
Australia,Queensland,2020-02-03,0.0,0.0,0.0
Australia,Queensland,2020-02-04,1.0,0.0,0.0
Australia,Queensland,2020-02-05,0.0,0.0,0.0
Australia,Queensland,2020-02-06,1.0,0.0,0.0
Australia,Queensland,2020-02-07,1.0,0.0,0.0
Australia,Queensland,2020-02-08,0.0,0.0,0.0
Australia,Queensland,2020-02-09,0.0,0.0,0.0
Australia,Queensland,2020-02-10,0.0,0.0,0.0
Australia,Queensland,2020-02-11,0.0,0.0,0.0
Australia,Queensland,2020-02-12,0.0,0.0,0.0
Australia,Queensland,2020-02-13,0.0,0.0,0.0
Australia,Queensland,2020-02-14,0.0,0.0,0.0
Australia,Queensland,2020-02-15,0.0,0.0,0.0
Australia,Queensland,2020-02-16,0.0,0.0,0.0
Australia,Queensland,2020-02-17,0.0,0.0,0.0
Australia,Queensland,2020-02-18,0.0,0.0,0.0
Australia,Queensland,2020-02-19,0.0,0.0,0.0
Australia,Queensland,2020-02-20,0.0,0.0,0.0
Australia,Queensland,2020-02-21,0.0,1.0,0.0
Australia,Queensland,2020-02-22,0.0,0.0,0.0
Australia,Queensland,2020-02-23,0.0,0.0,0.0
Australia,Queensland,2020-02-24,0.0,0.0,0.0
Australia,Queensland,2020-02-25,0.0,0.0,0.0
Australia,Queensland,2020-02-26,0.0,0.0,0.0
Australia,Queensland,2020-02-27,0.0,0.0,0.0
Australia,Queensland,2020-02-28,0.0,0.0,0.0
Australia,Queensland,2020-02-29,4.0,0.0,0.0
Australia,Queensland,2020-03-01,0.0,0.0,0.0
Australia,Queensland,2020-03-02,0.0,0.0,0.0
Australia,Queensland,2020-03-03,2.0,0.0,0.0
Australia,Queensland,2020-03-04,0.0,0.0,0.0
Australia,Queensland,2020-03-05,2.0,7.0,0.0
Australia,Queensland,2020-03-06,0.0,0.0,0.0
Australia,Queensland,2020-03-07,0.0,0.0,0.0
Australia,Queensland,2020-03-08,2.0,0.0,0.0
Australia,Queensland,2020-03-09,0.0,0.0,0.0
Australia,Queensland,2020-03-10,3.0,0.0,0.0
Australia,Queensland,2020-03-11,2.0,0.0,0.0
Australia,Queensland,2020-03-12,0.0,0.0,0.0
Australia,Queensland,2020-03-13,15.0,0.0,0.0
Australia,Queensland,2020-03-14,11.0,0.0,0.0
Australia,Queensland,2020-03-15,15.0,0.0,0.0
Australia,Queensland,2020-03-16,7.0,0.0,0.0
Australia,Queensland,2020-03-17,10.0,0.0,0.0
Australia,Queensland,2020-03-18,16.0,0.0,0.0
Australia,Queensland,2020-03-19,50.0,0.0,0.0
Australia,Queensland,2020-03-20,40.0,0.0,0.0
Australia,Queensland,2020-03-21,37.0,0.0,0.0
Australia,South Australia,2020-01-23,0.0,0.0,0.0
Australia,South Australia,2020-01-24,0.0,0.0,0.0
Australia,South Australia,2020-01-25,0.0,0.0,0.0
Australia,South Australia,2020-01-26,0.0,0.0,0.0
Australia,South Australia,2020-01-27,0.0,0.0,0.0
Australia,South Australia,2020-01-28,0.0,0.0,0.0
Australia,South Australia,2020-01-29,0.0,0.0,0.0
Australia,South Australia,2020-01-30,0.0,0.0,0.0
Australia,South Australia,2020-01-31,0.0,0.0,0.0
Australia,South Australia,2020-02-01,1.0,0.0,0.0
Australia,South Australia,2020-02-02,1.0,0.0,0.0
Australia,South Australia,2020-02-03,0.0,0.0,0.0
Australia,South Australia,2020-02-04,0.0,0.0,0.0
Australia,South Australia,2020-02-05,0.0,0.0,0.0
Australia,South Australia,2020-02-06,0.0,0.0,0.0
Australia,South Australia,2020-02-07,0.0,0.0,0.0
Australia,South Australia,2020-02-08,0.0,0.0,0.0
Australia,South Australia,2020-02-09,0.0,0.0,0.0
Australia,South Australia,2020-02-10,0.0,0.0,0.0
Australia,South Australia,2020-02-11,0.0,0.0,0.0
Australia,South Australia,2020-02-12,0.0,0.0,0.0
Australia,South Australia,2020-02-13,0.0,0.0,0.0
Australia,South Australia,2020-02-14,0.0,0.0,0.0
Australia,South Australia,2020-02-15,0.0,0.0,0.0
Australia,South Australia,2020-02-16,0.0,0.0,0.0
Australia,South Australia,2020-02-17,0.0,2.0,0.0
Australia,South Australia,2020-02-18,0.0,0.0,0.0
Australia,South Australia,2020-02-19,0.0,0.0,0.0
Australia,South Australia,2020-02-20,0.0,0.0,0.0
Australia,South Australia,2020-02-21,0.0,0.0,0.0
Australia,South Australia,2020-02-22,0.0,0.0,0.0
Australia,South Australia,2020-02-23,0.0,0.0,0.0
Australia,South Australia,2020-02-24,0.0,0.0,0.0
Australia,South Australia,2020-02-25,0.0,0.0,0.0
Australia,South Australia,2020-02-26,0.0,0.0,0.0
Australia,South Australia,2020-02-27,0.0,0.0,0.0
Australia,South Australia,2020-02-28,0.0,0.0,0.0
Australia,South Australia,2020-02-29,1.0,0.0,0.0
Australia,South Australia,2020-03-01,0.0,0.0,0.0
Australia,South Australia,2020-03-02,0.0,0.0,0.0
Australia,South Australia,2020-03-03,0.0,0.0,0.0
Australia,South Australia,2020-03-04,2.0,0.0,0.0
Australia,South Australia,2020-03-05,0.0,0.0,0.0
Australia,South Australia,2020-03-06,2.0,0.0,0.0
Australia,South Australia,2020-03-07,0.0,0.0,0.0
Australia,South Australia,2020-03-08,0.0,0.0,0.0
Australia,South Australia,2020-03-09,0.0,0.0,0.0
Australia,South Australia,2020-03-10,0.0,0.0,0.0
Australia,South Australia,2020-03-11,2.0,0.0,0.0
Australia,South Australia,2020-03-12,0.0,0.0,0.0
Australia,South Australia,2020-03-13,7.0,1.0,0.0
Australia,South Australia,2020-03-14,3.0,0.0,0.0
Australia,South Australia,2020-03-15,1.0,0.0,0.0
Australia,South Australia,2020-03-16,9.0,0.0,0.0
Australia,South Australia,2020-03-17,0.0,0.0,0.0
Australia,South Australia,2020-03-18,8.0,0.0,0.0
Australia,South Australia,2020-03-19,5.0,0.0,0.0
Australia,South Australia,2020-03-20,8.0,0.0,0.0
Australia,South Australia,2020-03-21,17.0,0.0,0.0
Australia,Tasmania,2020-01-23,0.0,0.0,0.0
Australia,Tasmania,2020-01-24,0.0,0.0,0.0
Australia,Tasmania,2020-01-25,0.0,0.0,0.0
Australia,Tasmania,2020-01-26,0.0,0.0,0.0
Australia,Tasmania,2020-01-27,0.0,0.0,0.0
Australia,Tasmania,2020-01-28,0.0,0.0,0.0
Australia,Tasmania,2020-01-29,0.0,0.0,0.0
Australia,Tasmania,2020-01-30,0.0,0.0,0.0
Australia,Tasmania,2020-01-31,0.0,0.0,0.0
Australia,Tasmania,2020-02-01,0.0,0.0,0.0
Australia,Tasmania,2020-02-02,0.0,0.0,0.0
Australia,Tasmania,2020-02-03,0.0,0.0,0.0
Australia,Tasmania,2020-02-04,0.0,0.0,0.0
Australia,Tasmania,2020-02-05,0.0,0.0,0.0
Australia,Tasmania,2020-02-06,0.0,0.0,0.0
Australia,Tasmania,2020-02-07,0.0,0.0,0.0
Australia,Tasmania,2020-02-08,0.0,0.0,0.0
Australia,Tasmania,2020-02-09,0.0,0.0,0.0
Australia,Tasmania,2020-02-10,0.0,0.0,0.0
Australia,Tasmania,2020-02-11,0.0,0.0,0.0
Australia,Tasmania,2020-02-12,0.0,0.0,0.0
Australia,Tasmania,2020-02-13,0.0,0.0,0.0
Australia,Tasmania,2020-02-14,0.0,0.0,0.0
Australia,Tasmania,2020-02-15,0.0,0.0,0.0
Australia,Tasmania,2020-02-16,0.0,0.0,0.0
Australia,Tasmania,2020-02-17,0.0,0.0,0.0
Australia,Tasmania,2020-02-18,0.0,0.0,0.0
Australia,Tasmania,2020-02-19,0.0,0.0,0.0
Australia,Tasmania,2020-02-20,0.0,0.0,0.0
Australia,Tasmania,2020-02-21,0.0,0.0,0.0
Australia,Tasmania,2020-02-22,0.0,0.0,0.0
Australia,Tasmania,2020-02-23,0.0,0.0,0.0
Australia,Tasmania,2020-02-24,0.0,0.0,0.0
Australia,Tasmania,2020-02-25,0.0,0.0,0.0
Australia,Tasmania,2020-02-26,0.0,0.0,0.0
Australia,Tasmania,2020-02-27,0.0,0.0,0.0
Australia,Tasmania,2020-02-28,0.0,0.0,0.0
Australia,Tasmania,2020-02-29,0.0,0.0,0.0
Australia,Tasmania,2020-03-01,0.0,0.0,0.0
Australia,Tasmania,2020-03-02,1.0,0.0,0.0
Australia,Tasmania,2020-03-03,0.0,0.0,0.0
Australia,Tasmania,2020-03-04,0.0,0.0,0.0
Australia,Tasmania,2020-03-05,0.0,0.0,0.0
Australia,Tasmania,2020-03-06,0.0,0.0,0.0
Australia,Tasmania,2020-03-07,0.0,0.0,0.0
Australia,Tasmania,2020-03-08,1.0,0.0,0.0
Australia,Tasmania,2020-03-09,0.0,0.0,0.0
Australia,Tasmania,2020-03-10,0.0,0.0,0.0
Australia,Tasmania,2020-03-11,1.0,0.0,0.0
Australia,Tasmania,2020-03-12,0.0,0.0,0.0
Australia,Tasmania,2020-03-13,2.0,0.0,0.0
Australia,Tasmania,2020-03-14,0.0,0.0,0.0
Australia,Tasmania,2020-03-15,1.0,0.0,0.0
Australia,Tasmania,2020-03-16,1.0,0.0,0.0
Australia,Tasmania,2020-03-17,0.0,0.0,0.0
Australia,Tasmania,2020-03-18,3.0,0.0,0.0
Australia,Tasmania,2020-03-19,0.0,3.0,0.0
Australia,Tasmania,2020-03-20,0.0,0.0,0.0
Australia,Tasmania,2020-03-21,6.0,0.0,0.0
Australia,Total,2020-01-23,0.0,0.0,0.0
Australia,Total,2020-01-24,0.0,0.0,0.0
Australia,Total,2020-01-25,0.0,0.0,0.0
Australia,Total,2020-01-26,4.0,0.0,0.0
Australia,Total,2020-01-27,1.0,0.0,0.0
Australia,Total,2020-01-28,0.0,0.0,0.0
Australia,Total,2020-01-29,1.0,0.0,0.0
Australia,Total,2020-01-30,3.0,2.0,0.0
Australia,Total,2020-01-31,0.0,0.0,0.0
Australia,Total,2020-02-01,3.0,0.0,0.0
Australia,Total,2020-02-02,0.0,0.0,0.0
Australia,Total,2020-02-03,0.0,0.0,0.0
Australia,Total,2020-02-04,1.0,0.0,0.0
Australia,Total,2020-02-05,0.0,0.0,0.0
Australia,Total,2020-02-06,1.0,0.0,0.0
Australia,Total,2020-02-07,1.0,0.0,0.0
Australia,Total,2020-02-08,0.0,0.0,0.0
Australia,Total,2020-02-09,0.0,0.0,0.0
Australia,Total,2020-02-10,0.0,0.0,0.0
Australia,Total,2020-02-11,0.0,0.0,0.0
Australia,Total,2020-02-12,0.0,0.0,0.0
Australia,Total,2020-02-13,0.0,6.0,0.0
Australia,Total,2020-02-14,0.0,0.0,0.0
Australia,Total,2020-02-15,0.0,0.0,0.0
Australia,Total,2020-02-16,0.0,0.0,0.0
Australia,Total,2020-02-17,0.0,2.0,0.0
Australia,Total,2020-02-18,0.0,0.0,0.0
Australia,Total,2020-02-19,0.0,0.0,0.0
Australia,Total,2020-02-20,0.0,0.0,0.0
Australia,Total,2020-02-21,4.0,1.0,0.0
Australia,Total,2020-02-22,3.0,0.0,0.0
Australia,Total,2020-02-23,0.0,0.0,0.0
Australia,Total,2020-02-24,0.0,0.0,0.0
Australia,Total,2020-02-25,0.0,0.0,0.0
Australia,Total,2020-02-26,0.0,0.0,0.0
Australia,Total,2020-02-27,1.0,0.0,0.0
Australia,Total,2020-02-28,0.0,0.0,0.0
Australia,Total,2020-02-29,2.0,0.0,0.0
Australia,Total,2020-03-01,2.0,0.0,1.0
Australia,Total,2020-03-02,3.0,0.0,0.0
Australia,Total,2020-03-03,9.0,0.0,0.0
Australia,Total,2020-03-04,13.0,0.0,1.0
Australia,Total,2020-03-05,3.0,10.0,0.0
Australia,Total,2020-03-06,5.0,0.0,0.0
Australia,Total,2020-03-07,3.0,0.0,0.0
Australia,Total,2020-03-08,13.0,0.0,1.0
Australia,Total,2020-03-09,15.0,0.0,0.0
Australia,Total,2020-03-10,16.0,0.0,0.0
Australia,Total,2020-03-11,21.0,0.0,0.0
Australia,Total,2020-03-12,0.0,0.0,0.0
Australia,Total,2020-03-13,72.0,2.0,0.0
Australia,Total,2020-03-14,50.0,0.0,0.0
Australia,Total,2020-03-15,47.0,0.0,0.0
Australia,Total,2020-03-16,80.0,0.0,0.0
Australia,Total,2020-03-17,75.0,0.0,2.0
Australia,Total,2020-03-18,116.0,0.0,1.0
Australia,Total,2020-03-19,113.0,3.0,0.0
Australia,Total,2020-03-20,110.0,0.0,1.0
Australia,Total,2020-03-21,280.0,0.0,0.0
Australia,Victoria,2020-01-23,0.0,0.0,0.0
Australia,Victoria,2020-01-24,0.0,0.0,0.0
Australia,Victoria,2020-01-25,0.0,0.0,0.0
Australia,Victoria,2020-01-26,1.0,0.0,0.0
Australia,Victoria,2020-01-27,0.0,0.0,0.0
Australia,Victoria,2020-01-28,0.0,0.0,0.0
Australia,Victoria,2020-01-29,0.0,0.0,0.0
Australia,Victoria,2020-01-30,1.0,0.0,0.0
Australia,Victoria,2020-01-31,1.0,0.0,0.0
Australia,Victoria,2020-02-01,1.0,0.0,0.0
Australia,Victoria,2020-02-02,0.0,0.0,0.0
Australia,Victoria,2020-02-03,0.0,0.0,0.0
Australia,Victoria,2020-02-04,0.0,0.0,0.0
Australia,Victoria,2020-02-05,0.0,0.0,0.0
Australia,Victoria,2020-02-06,0.0,0.0,0.0
Australia,Victoria,2020-02-07,0.0,0.0,0.0
Australia,Victoria,2020-02-08,0.0,0.0,0.0
Australia,Victoria,2020-02-09,0.0,0.0,0.0
Australia,Victoria,2020-02-10,0.0,0.0,0.0
Australia,Victoria,2020-02-11,0.0,0.0,0.0
Australia,Victoria,2020-02-12,0.0,0.0,0.0
Australia,Victoria,2020-02-13,0.0,4.0,0.0
Australia,Victoria,2020-02-14,0.0,0.0,0.0
Australia,Victoria,2020-02-15,0.0,0.0,0.0
Australia,Victoria,2020-02-16,0.0,0.0,0.0
Australia,Victoria,2020-02-17,0.0,0.0,0.0
Australia,Victoria,2020-02-18,0.0,0.0,0.0
Australia,Victoria,2020-02-19,0.0,0.0,0.0
Australia,Victoria,2020-02-20,0.0,0.0,0.0
Australia,Victoria,2020-02-21,0.0,0.0,0.0
Australia,Victoria,2020-02-22,0.0,0.0,0.0
Australia,Victoria,2020-02-23,0.0,0.0,0.0
Australia,Victoria,2020-02-24,0.0,0.0,0.0
